City,State,Country,Year V0 Started,Link,Data Available,Source
Alameda,California,US,December 2021,https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Transportation/Vision-Zero#section-2,Yes,https://www.chp.ca.gov/Programs-Services/Services-Information/SWITRS-Internet-Statewide-Integrated-Traffic-Records-System
Albuquerque,New Mexico,US,,,,
Alexandria,Virginia,US,,,,
Anchorage,Alaska,US,,,,
Atlanta,Georgia,US,,,,
Austin,Texas,US,,,,
Bellevue,Washington,US,,,,
Berkeley,California,US,,,,
Bethlehem,Pennsylvania,US,,,,
Boston,Massachusetts,US,,,,
Boulder,Colorado,US,,,,
Cambridge,Massachusetts,US,,,,
Charlotte,North Carolina,US,,,,
Chicago,Illinois,US,,,,
Columbia,Missouri,US,,,,
Denver,Colorado,US,,,,
Denver Regional Council of Governments,Colorado,US,,,,
Durham,North Carolina,US,,,,
Eugene,Oregon,US,,,,
Fremont,California,US,,,,
Ft. Lauderdale,Florida,US,,,,
Harrisburg,Pennsylvania,US,,,,
Hillsborough County,Florida,US,,,,
Houston,Texas,US,,,,
Jersey City,New Jersey,US,,,,
La Mesa,California,US,,,,
Laredo,Texas,US,,,,
Los Angeles,California,US,,,,
Macon,Georgia,US,,,,
Madison,Wisconsin,US,,,,
Minneapolis,Minnesota,US,,,,
Monterey,California,US,,,,
Montgomery County,Maryland,US,,,,
New York City,New York,US,,,,
Oregon Metro,Oregon,US,,,,
Orlando,Florida,US,,,,
Philadelphia,Pennsylvania,US,,,,
Portland,Oregon,US,,,,
Richmond,Virginia,US,,,,
Sacramento,California,US,,,,
San Antonio,Texas,US,,,,
San Diego,California,US,,,,
San Francisco,California,US,,,,
San Jose,California,US,,,,
San Luis Obispo,California,US,,,,
Santa Barbara,California,US,,,,
Seattle,Washington,US,,,,
Somerville,Massachusetts,US,,,,
Tampa,Florida,US,,,,
Tempe,Arizona,US,,,,
Washington DC,,US,,,,
Watsonville,California,US,,,,
West Palm Beach,Florida,US,,,,